        AS4796;BANDUNG-NET-AS-AP Institute of Technology Bandung; 88.32 ; f:'88.32%'} ; 19.93
AS4795;INDOSATM2-ID INDOSATM2  ASN; 49.32 ; f:'49.32%'} ; 40.38
AS17996;UIINET-ID-AP PT Global Prima Utama; 7.73 ; f:'7.73%'} ; 7.73
AS46019;UNIBRAW-AS-ID Universitas Brawijaya; 7.61 ; f:'7.61%'} ; 5.85
AS131749;MEDIAINDOCYBER-AS-ID PT. Arthatama Adhiprima Persada; 6.25 ; f:'6.25%'} ; 5.36
AS46028;PACNET-AS-ID Transkon Jaya ; PT; 6.18 ; f:'6.18%'}
AS45304;PETRA-AS-ID PetraNet ; Surabaya ; Indonesia; 5.72
AS131755;IDNIC-AXARVA-AS-ID PT Axarva Media Teknologi; 4.00 ; f:'4.00%'} ; 4.00
AS4787;ASN-CBN PT Cyberindo Aditama; 3.64 ; f:'3.64%'} ; 3.38
AS17727;NAPINFO-AS-AP PT. NAP Info Lintas Nusa; 3.36 ; f:'3.36%'} ; 3.21
AS4800;LINTASARTA-AS-AP Network Access Provider and Internet Service Provider; 1.95 ; f:'1.95%'} ; 1.91
AS64026;; 1.45 ; f:'1.45%'} ; 0.00
AS131775;IDNIC-JALANET-AS-ID PT. Jupiter Jala Arta; 1.41 ; f:'1.41%'} ; 1.41
AS38496;CNI-AS-ID PT Cyber Network Indonesia; 1.08 ; f:'1.08%'} ; 1.08
AS24532;INET-AS-ID PT. Inet Global Indo; 0.97 ; f:'0.97%'} ; 0.81
AS38781;MASNET-AS-ID PT. Mitra Abdi Solusi; 0.94 ; f:'0.94%'} ; 0.94
AS131785;IDNIC-MAHKAMAHAGUNG-AS-ID Mahkamah Agung RI; 0.83 ; f:'0.83%'} ; 0.83
AS23949;COMNET-AS-ID PT Comtronics Systems; 0.38 ; f:'0.38%'} ; 0.32
AS9794;DNET-ID-AP PT. Core Mediatech (D-NET); 0.37 ; f:'0.37%'} ; 0.37
AS38331;ITS-AS-ID-AP Institut Teknologi Sepuluh Nopember; 0.28 ; f:'0.28%'} ; 0.28
AS9875;PESAT1-AS-AP PT. Pasifik Satelit Nusantara; 0.23 ; f:'0.23%'} ; 0.23
AS22363;PHMGMT-AS1 - Powerhouse Management ; Inc.; 0.19 ; f:'0.19%'}
AS24521;DATAUTAMA-NET-AS-ID PT. DATA Utama Dinamika; 0.19 ; f:'0.19%'} ; 0.13
AS4434;ERX-RADNET1-AS PT Rahajasa Media Internet; 0.13 ; f:'0.13%'} ; 0.13
AS17451;BIZNET-AS-AP BIZNET NETWORKS; 0.12 ; f:'0.12%'} ; 0.11
